orf,Filter Name,omcl
YMR194C-A,OMCL in Yeast,
YPR092W,OMCL in Yeast,
YAL066W,OMCL in Yeast,
YBR226C,OMCL in Yeast,
YLR184W,OMCL in Yeast,
YKL153W,OMCL in Yeast,
YNL205C,OMCL in Yeast,
YDR215C,OMCL in Yeast,
YIR044C,OMCL in Yeast,
YLR339C,OMCL in Yeast,
YKL076C,OMCL in Yeast,
YBL062W,OMCL in Yeast,
YBL083C,OMCL in Yeast,
YJR087W,OMCL in Yeast,
YPR087W,OMCL in Yeast,
YJR037W,OMCL in Yeast,
YPR012W,OMCL in Yeast,
YCR102W-A,OMCL in Yeast,
YMR057C,OMCL in Yeast,
YGL042C,OMCL in Yeast,
YDR112W,OMCL in Yeast,
YDL062W,OMCL in Yeast,
YHL041W,OMCL in Yeast,
YDR445C,OMCL in Yeast,
YGR045C,OMCL in Yeast,
YKL199C,OMCL in Yeast,
YKR033C,OMCL in Yeast,
YKL131W,OMCL in Yeast,
YPR142C,OMCL in Yeast,
YCL074W,OMCL in Yeast,
YIL032C,OMCL in Yeast,
YDR149C,OMCL in Yeast,
YAL035C-A,OMCL in Yeast,
YOR343C,OMCL in Yeast,
YLR230W,OMCL in Yeast,
YBL070C,OMCL in Yeast,
YBR144C,OMCL in Yeast,
YOR263C,OMCL in Yeast,
YBL012C,OMCL in Yeast,
YNL043C,OMCL in Yeast,
YOR300W,OMCL in Yeast,
YJL007C,OMCL in Yeast,
YCL046W,OMCL in Yeast,
YIR043C,OMCL in Yeast,
YLR334C,OMCL in Yeast,
YCL026C,OMCL in Yeast,
YML117W-A,OMCL in Yeast,
YGL177W,OMCL in Yeast,
YNL105W,OMCL in Yeast,
YGR139W,OMCL in Yeast,
YDR401W,OMCL in Yeast,
YKL115C,OMCL in Yeast,
YJR020W,OMCL in Yeast,
YHR079C-B,OMCL in Yeast,
YDL016C,OMCL in Yeast,
YFL035C-A,OMCL in Yeast,
YNL114C,OMCL in Yeast,
YBR224W,OMCL in Yeast,
YDR535C,OMCL in Yeast,
YPR044C,OMCL in Yeast,
YGL218W,OMCL in Yeast,
YHL045W,OMCL in Yeast,
YMR151W,OMCL in Yeast,
YKL053W,OMCL in Yeast,
YOR169C,OMCL in Yeast,
YOR240W,OMCL in Yeast,
YBL077W,OMCL in Yeast,
YGR107W,OMCL in Yeast,
YOR199W,OMCL in Yeast,
YBR075W,OMCL in Yeast,
YFR056C,OMCL in Yeast,
YLR349W,OMCL in Yeast,
YLR232W,OMCL in Yeast,
YNL324W,OMCL in Yeast,
YFL019C,OMCL in Yeast,
YKR047W,OMCL in Yeast,
YPR177C,OMCL in Yeast,
YMR103C,OMCL in Yeast,
YLR124W,OMCL in Yeast,
YDL038C,OMCL in Yeast,
YHL005C,OMCL in Yeast,
YBL048W,OMCL in Yeast,
YKL158W,OMCL in Yeast,
YKL097C,OMCL in Yeast,
YLR076C,OMCL in Yeast,
YKL147C,OMCL in Yeast,
YGL132W,OMCL in Yeast,
YGR039W,OMCL in Yeast,
YPR146C,OMCL in Yeast,
YOL160W,OMCL in Yeast,
YGR226C,OMCL in Yeast,
YPL035C,OMCL in Yeast,
YDR203W,OMCL in Yeast,
YDL163W,OMCL in Yeast,
YML090W,OMCL in Yeast,
YKL118W,OMCL in Yeast,
YCL053C,OMCL in Yeast,
YLL059C,OMCL in Yeast,
YOL046C,OMCL in Yeast,
YPL073C,OMCL in Yeast,
YKL202W,OMCL in Yeast,
YDR241W,OMCL in Yeast,
YOL153C,OMCL in Yeast,
YKL123W,OMCL in Yeast,
YLR062C,OMCL in Yeast,
YGR122C-A,OMCL in Yeast,
YER068C-A,OMCL in Yeast,
YHR049C-A,OMCL in Yeast,
YKL169C,OMCL in Yeast,
YPR195C,OMCL in Yeast,
YBL100C,OMCL in Yeast,
YDR029W,OMCL in Yeast,
YNL170W,OMCL in Yeast,
YKR032W,OMCL in Yeast,
YDR133C,OMCL in Yeast,
YBR134W,OMCL in Yeast,
YDL023C,OMCL in Yeast,
YKR012C,OMCL in Yeast,
YGR064W,OMCL in Yeast,
YGL109W,OMCL in Yeast,
YER108C,OMCL in Yeast,
YPR126C,OMCL in Yeast,
YDR199W,OMCL in Yeast,
YBL094C,OMCL in Yeast,
YJL188C,OMCL in Yeast,
YGL149W,OMCL in Yeast,
YJL152W,OMCL in Yeast,
YOL035C,OMCL in Yeast,
YOR139C,OMCL in Yeast,
YGR242W,OMCL in Yeast,
YDL026W,OMCL in Yeast,
YGL165C,OMCL in Yeast,
YKL200C,OMCL in Yeast,
YOL118C,OMCL in Yeast,
YOR318C,OMCL in Yeast,
YPL142C,OMCL in Yeast,
,OMCL in Yeast,
,OMCL in Tryps,OG5_153050
,OMCL in Tryps,OG5_156963
,OMCL in Tryps,OG5_130179
,OMCL in Tryps,OG5_127198
,OMCL in Tryps,OG5_134169
,OMCL in Tryps,OG5_157059
,OMCL in Tryps,OG5_129087
,OMCL in Tryps,OG5_129555
,OMCL in Tryps,OG5_129929
,OMCL in Tryps,OG5_176852
,OMCL in Tryps,OG5_141405
,OMCL in Tryps,OG5_153492
,OMCL in Tryps,OG5_144602
,OMCL in Tryps,OG5_130621
,OMCL in Tryps,OG5_150690
,OMCL in Tryps,OG5_130935
,OMCL in Tryps,OG5_130182
,OMCL in Tryps,OG5_152886
,OMCL in Tryps,OG5_130440
,OMCL in Tryps,OG5_129364
,OMCL in Tryps,OG5_135592
,OMCL in Tryps,OG5_147585
,OMCL in Tryps,OG5_130157
,OMCL in Tryps,OG5_144653
,OMCL in Tryps,OG5_133111
,OMCL in Tryps,OG5_153719
,OMCL in Tryps,OG5_180432
,OMCL in Tryps,OG5_176536
,OMCL in Tryps,OG5_140243
,OMCL in Tryps,OG5_127021
,OMCL in Tryps,OG5_157007
,OMCL in Tryps,OG5_128260
,OMCL in Tryps,OG5_136138
,OMCL in Tryps,OG5_135759
,OMCL in Tryps,OG5_129283
,OMCL in Tryps,OG5_134264
,OMCL in Tryps,OG5_129827
,OMCL in Tryps,OG5_164519
,OMCL in Tryps,OG5_135779
,OMCL in Tryps,OG5_139324
,OMCL in Tryps,OG5_128176
,OMCL in Tryps,OG5_127087
,OMCL in Tryps,OG5_184986
,OMCL in Tryps,OG5_136161
,OMCL in Tryps,OG5_171621
,OMCL in Tryps,OG5_175799
,OMCL in Tryps,OG5_135050
,OMCL in Tryps,OG5_180539
,OMCL in Tryps,OG5_128901
,OMCL in Tryps,OG5_193755
,OMCL in Tryps,OG5_165423
,OMCL in Tryps,OG5_222351
,OMCL in Tryps,OG5_128611
,OMCL in Tryps,OG5_153729
,OMCL in Tryps,OG5_129488
,OMCL in Tryps,OG5_129748
,OMCL in Tryps,OG5_171922
,OMCL in Tryps,OG5_126664
,OMCL in Tryps,OG5_129893
,OMCL in Tryps,OG5_138309
,OMCL in Tryps,OG5_128911
,OMCL in Tryps,OG5_134449
,OMCL in Tryps,OG5_180431
,OMCL in Tryps,OG5_180510
,OMCL in Tryps,OG5_162845
,OMCL in Tryps,OG5_128473
,OMCL in Tryps,OG5_128203
,OMCL in Tryps,OG5_165431
,OMCL in Tryps,OG5_188381
,OMCL in Tryps,OG5_180517
,OMCL in Tryps,OG5_129978
,OMCL in Tryps,OG5_135909
,OMCL in Tryps,OG5_153033
,OMCL in Tryps,OG5_129586
,OMCL in Tryps,OG5_131768
,OMCL in Tryps,OG5_127769
,OMCL in Tryps,OG5_128634
,OMCL in Tryps,OG5_138664
,OMCL in Tryps,OG5_180466
,OMCL in Tryps,OG5_132599
,OMCL in Tryps,OG5_128036
,OMCL in Tryps,OG5_156979
,OMCL in Tryps,OG5_130801
,OMCL in Tryps,OG5_132851
,OMCL in Tryps,OG5_133761
,OMCL in Tryps,OG5_180503
,OMCL in Tryps,OG5_128413
,OMCL in Tryps,OG5_149831
,OMCL in Tryps,OG5_136869
,OMCL in Tryps,OG5_200773
,OMCL in Tryps,OG5_194825
,OMCL in Tryps,OG5_137934
